Date	UserName	ProjectName
2019-10-07	User1	Project3
2019-10-08	User20	Project1
2019-10-08	User32	Project3
2019-10-08	User21	Project2
2019-10-08	User5	Project1
2019-10-08	User31	Project3
2019-10-08	User30	Project2
2019-10-08	User19	Project3
2019-10-08	User33	Project3
2019-10-08	User18	Project3
2019-10-08	User27	Project2
2019-10-08	User3	Project2
2019-10-08	User23	Project3
2019-10-08	User17	Project4
2019-10-08	User16	Project3
2019-10-08	User15	Project3
2019-10-08	User14	Project2
2019-10-08	User13	Project2
2019-10-08	User12	Project3
2019-10-08	User9	Project1
2019-10-08	User10	Project2
2019-10-08	User22	Project2
2019-10-08	User11	Project4
2019-10-08	User8	Project1
2019-10-08	User7	Project2
2019-10-08	User1	Project3
2019-10-09	User28	Project3
2019-10-09	User32	Project3
2019-10-09	User5	Project1
2019-10-09	User31	Project3
2019-10-09	User30	Project2
2019-10-09	User19	Project3
2019-10-09	User18	Project3
2019-10-09	User27	Project2
2019-10-09	User3	Project2
2019-10-09	User23	Project3
2019-10-09	User16	Project3
2019-10-09	User15	Project3
2019-10-09	User14	Project2
2019-10-09	User13	Project2
2019-10-09	User12	Project3
2019-10-09	User9	Project1
2019-10-09	User10	Project2
2019-10-09	User22	Project2
2019-10-09	User11	Project4
2019-10-09	User8	Project1
2019-10-09	User1	Project3
2019-10-10	User20	Project1
2019-10-10	User28	Project3
2019-10-10	User32	Project3
2019-10-10	User5	Project1
2019-10-10	User31	Project3
2019-10-10	User30	Project2
2019-10-10	User24	Project1
2019-10-10	User19	Project3
2019-10-10	User33	Project3
2019-10-10	User18	Project3
2019-10-10	User27	Project2
2019-10-10	User3	Project2
2019-10-10	User23	Project3
2019-10-10	User17	Project4
2019-10-10	User16	Project3
2019-10-10	User15	Project3
2019-10-10	User14	Project2
2019-10-10	User13	Project2
2019-10-10	User12	Project3
2019-10-10	User9	Project1
2019-10-10	User10	Project2
2019-10-10	User22	Project2
2019-10-10	User11	Project4
2019-10-10	User8	Project1
2019-10-10	User7	Project2
2019-10-10	User1	Project3
2019-10-11	User28	Project3
2019-10-11	User32	Project3
2019-10-11	User5	Project1
2019-10-11	User31	Project3
2019-10-11	User30	Project2
2019-10-11	User19	Project3
2019-10-11	User33	Project3
2019-10-11	User18	Project3
2019-10-11	User27	Project2
2019-10-11	User3	Project2
2019-10-11	User23	Project3
2019-10-11	User17	Project4
2019-10-11	User15	Project3
2019-10-11	User14	Project2
2019-10-11	User13	Project2
2019-10-11	User12	Project3
2019-10-11	User9	Project1
2019-10-11	User10	Project2
2019-10-11	User22	Project2
2019-10-11	User8	Project1
2019-10-11	User7	Project2
2019-10-11	User1	Project3
2019-10-14	User20	Project1
2019-10-14	User28	Project3
2019-10-14	User32	Project3
2019-10-14	User5	Project1
2019-10-14	User31	Project3
2019-10-14	User30	Project2
2019-10-14	User19	Project3
2019-10-14	User18	Project3
2019-10-14	User27	Project2
2019-10-14	User23	Project3
2019-10-14	User17	Project4
2019-10-14	User16	Project3
2019-10-14	User15	Project3
2019-10-14	User13	Project2
2019-10-14	User12	Project3
2019-10-14	User9	Project1
2019-10-14	User10	Project2
2019-10-14	User11	Project4
2019-10-14	User8	Project1
2019-10-14	User7	Project2
2019-10-14	User1	Project3
2019-10-15	User20	Project1
2019-10-15	User28	Project3
2019-10-15	User6	Project5
2019-10-15	User32	Project3
2019-10-15	User21	Project2
2019-10-15	User5	Project1
2019-10-15	User31	Project3
2019-10-15	User30	Project2
2019-10-15	User19	Project3
2019-10-15	User33	Project3
2019-10-15	User18	Project3
2019-10-15	User27	Project2
2019-10-15	User3	Project2
2019-10-15	User23	Project3
2019-10-15	User17	Project4
2019-10-15	User16	Project3
2019-10-15	User15	Project3
2019-10-15	User14	Project2
2019-10-15	User13	Project2
2019-10-15	User12	Project3
2019-10-15	User9	Project1
2019-10-15	User10	Project2
2019-10-15	User11	Project4
2019-10-15	User8	Project1
2019-10-15	User1	Project3
2019-10-16	User28	Project3
2019-10-16	User32	Project3
2019-10-16	User31	Project3
2019-10-16	User33	Project3
2019-10-16	User18	Project3
2019-10-16	User27	Project2
2019-10-16	User16	Project3
2019-10-16	User15	Project3
2019-10-16	User14	Project2
2019-10-16	User13	Project2
2019-10-16	User12	Project3
2019-10-16	User9	Project1
2019-10-16	User10	Project2
2019-10-16	User22	Project2
2019-10-16	User11	Project4
2019-10-16	User8	Project1
2019-10-16	User7	Project2
2019-10-17	User20	Project1
2019-10-17	User28	Project3
2019-10-17	User32	Project3
2019-10-17	User31	Project3
2019-10-17	User30	Project2
2019-10-17	User19	Project3
2019-10-17	User18	Project3
2019-10-17	User27	Project2
2019-10-17	User3	Project2
2019-10-17	User23	Project3
2019-10-17	User17	Project4
2019-10-17	User16	Project3
2019-10-17	User15	Project3
2019-10-17	User14	Project2
2019-10-17	User13	Project2
2019-10-17	User12	Project3
2019-10-17	User9	Project1
2019-10-17	User10	Project2
2019-10-17	User22	Project2
2019-10-17	User11	Project4
2019-10-17	User8	Project1
2019-10-17	User7	Project2
2019-10-17	User1	Project3
2019-10-18	User20	Project1
2019-10-18	User28	Project3
2019-10-18	User32	Project3
2019-10-18	User21	Project2
2019-10-18	User5	Project1
2019-10-18	User31	Project3
2019-10-18	User19	Project3
2019-10-18	User18	Project3
2019-10-18	User27	Project2
2019-10-18	User3	Project2
2019-10-18	User23	Project3
2019-10-18	User17	Project4
2019-10-18	User15	Project3
2019-10-18	User14	Project2
2019-10-18	User13	Project2
2019-10-18	User12	Project3
2019-10-18	User9	Project1
2019-10-18	User10	Project2
2019-10-18	User22	Project2
2019-10-18	User8	Project1
2019-10-18	User7	Project2
2019-10-19	User31	Project3
